                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0689,                  4.329,                 12.256,                 3.0866,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3306,                 3.5879,                 11.399,                  2.229,                  2e-05,                  2e-05,                  2e-05
                      2,                 5.4524,                 5.1518,                 12.375,                 3.1401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3417,                 3.3537,                 10.843,                 2.0561,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 3.8888,                 4.0952,                 9.5806,                 1.9558,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.2543,                 3.3353,                  10.44,                 2.0113,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 2.8114,                 3.5792,                 7.4191,                 1.4461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5322,                 3.1368,                 6.7543,                 1.1485,             0.00013584,             0.00013584,             0.00013584
                      5,                 2.5908,                 3.5409,                 6.1875,                 1.2534,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7701,                  2.649,                 5.5724,                0.96801,             0.00017287,             0.00017287,             0.00017287
                      6,                 2.2402,                 3.0298,                 5.1257,                 1.0949,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.6889,                  2.114,                 5.3545,                0.90357,             0.00020911,             0.00020911,             0.00020911
                      7,                 2.3874,                 2.6711,                 5.3803,                  1.126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.6827,                 1.7179,                 5.1623,                0.90981,             0.00024456,             0.00024456,             0.00024456
                      8,                 2.2037,                  2.732,                  4.634,                  1.089,                0.00056,                0.09091,                0.00033,                  7e-05,                0.00111,                0.18182,                0.00066,                0.00013,                 1.7191,                 1.5892,                  5.105,                0.92712,             0.00027921,             0.00027921,             0.00027921
                      9,                 2.1864,                 2.6878,                 5.0293,                 1.0556,                0.00167,                0.27273,                0.00111,                0.00034,                0.00167,                0.27273,                0.00111,                0.00026,                 1.6065,                 1.6805,                  5.123,                0.92369,             0.00031307,             0.00031307,             0.00031307
                     10,                 2.3183,                 2.6845,                 4.3587,                 1.0817,                0.00278,                0.45455,                0.00236,                0.00093,                0.00333,                0.54545,                0.00281,                0.00119,                 1.5459,                  1.542,                 5.1269,                0.92034,             0.00034614,             0.00034614,             0.00034614
                     11,                 2.3929,                 3.0217,                 4.0872,                 1.0395,                0.00333,                0.54545,                0.00374,                0.00157,                0.00444,                0.72727,                0.00495,                0.00215,                 1.5275,                  1.608,                 5.1401,                0.91596,             0.00037842,             0.00037842,             0.00037842
                     12,                  1.932,                 1.9938,                  3.785,                0.91609,                0.00333,                0.54545,                0.00413,                0.00166,                0.00444,                0.72727,                0.00567,                0.00229,                 1.5643,                  1.637,                 5.1016,                0.91971,             0.00040991,             0.00040991,             0.00040991
